stop_id,stop_name,normalized
StopArea:OCE87113001,Paris Est,paris est
StopArea:OCE87116137,Longueville,longueville
StopArea:OCE87116517,La Ferté-sous-Jouarre,la fert sous jouarre
StopArea:OCE87116582,Château-Thierry,ch teau thierry
StopArea:OCE87117119,Auxon Église,auxon aglise
StopArea:OCE87117440,Martigny-Les-Gerbonvaux Centre,martigny les gerbonvaux centre
StopArea:OCE87117457,Autreville Centre,autreville centre
StopArea:OCE87117465,Allamps E.S.A.T,allamps e s a t
StopArea:OCE87117499,Hestroff Eglise,hestroff eglise
StopArea:OCE87117507,Vaudreching Bernanos,vaudreching bernanos
StopArea:OCE87117515,Alzing Rue de Brettnach,alzing rue de brettnach
StopArea:OCE87117523,Hargarten-aux-Mines Rue Principale,hargarten aux mines rue principale
StopArea:OCE87117598,Montigny-sur-Chiers Eglise,montigny sur chiers eglise
StopArea:OCE87117606,Lexy Carrefour,lexy carrefour
StopArea:OCE87117689,Hertzing Centre,hertzing centre
StopArea:OCE87117697,Bébing Route Nationale,b bing route nationale
StopArea:OCE87117903,Bouilly Mairie,bouilly mairie
StopArea:OCE87117911,Chamoy-Carrefour D1/D23,chamoy carrefour d1 d23
StopArea:OCE87117929,Jeugny Église,jeugny aglise
StopArea:OCE87117937,Montigny-les-Monts Mairie,montigny les monts mairie
StopArea:OCE87117952,Saint-Jean-de-Bonneval Église,saint jean de bonneval aglise
StopArea:OCE87117960,Saint-Phal Monument aux Morts,saint phal monument aux morts
StopArea:OCE87117978,Villery,villery
StopArea:OCE87117986,Neuvy-Sautour Route Nationale,neuvy sautour route nationale
StopArea:OCE87117994,Brienon-sur-Armançon Mairie,brienon sur arman on mairie
StopArea:OCE87118000,Troyes,troyes
StopArea:OCE87118067,Saint-Lyé Eglise,saint ly eglise
StopArea:OCE87118075,Payns Mairie,payns mairie
StopArea:OCE87118083,Savières  Impasse St-Phal,savi res impasse st phal
StopArea:OCE87118091,Saint-Mesmin Gare SNCF,saint mesmin gare sncf
StopArea:OCE87118117,Vallant-Saint-Georges Mairie,vallant saint georges mairie
StopArea:OCE87118133,Châtres Salle Polyvalente,ch tres salle polyvalente
StopArea:OCE87118141,Maizières-la-Grande-Paroisse Eglise,maizi res la grande paroisse eglise
StopArea:OCE87118158,Romilly-sur-Seine,romilly sur seine
StopArea:OCE87118182,Marnay-sur-Seine,marnay sur seine
StopArea:OCE87118190,Nogent-sur-Seine,nogent sur seine
StopArea:OCE87118257,Vendeuvre,vendeuvre
StopArea:OCE87118299,Bar-sur-Aube,bar sur aube
StopArea:OCE87118414,Ervy-le-Châtel Gare,ervy le ch tel gare
StopArea:OCE87130823,Les Cabannes Centre,les cabannes centre
StopArea:OCE87130831,Pamiers Centre,pamiers centre
StopArea:OCE87130849,Merens-Les-Vals,merens les vals
StopArea:OCE87130880,Le Vernet,le vernet
StopArea:OCE87130898,Varilhes Centre,varilhes centre
StopArea:OCE87131961,Brion - Montréal-la-Cluse Gare,brion montr al la cluse gare
StopArea:OCE87134387,Auch Le Seilhan,auch le seilhan
StopArea:OCE87137158,Tarascon-sur-Ariège Espace Francois Mitterrand,tarascon sur ari ge espace francois mitterrand
StopArea:OCE87138321,Gaillac-d'Aveyron Bourg,gaillac d aveyron bourg
StopArea:OCE87138339,Severac d'Aveyron Lapanouse,severac d aveyron lapanouse
StopArea:OCE87138362,Onet-le-Château la Roquette,onet le ch teau la roquette
StopArea:OCE87138370,Loubiere Canabols,loubiere canabols
StopArea:OCE87138438,Gaillac-D-Aveyron Lugans,gaillac d aveyron lugans
StopArea:OCE87139089,Albias,albias
StopArea:OCE87139501,Troyes Gare Routière,troyes gare routi re
StopArea:OCE87139527,Barberey-Saint-Sulpice Centre Commercial,barberey saint sulpice centre commercial
StopArea:OCE87139535,Barberey-Saint-Sulpice Route d,barberey saint sulpice route d
StopArea:OCE87139550,Mesgrigny Mairie,mesgrigny mairie
StopArea:OCE87139568,Méry-sur-Seine Hôtel de Ville,m ry sur seine h tel de ville
StopArea:OCE87139584,Maizières-la-Grande-Paroisse Tabac,maizi res la grande paroisse tabac
StopArea:OCE87139659,Troyes Chambre de Commerce,troyes chambre de commerce
StopArea:OCE87139667,Troyes Lombards,troyes lombards
StopArea:OCE87139865,Lirey la Chapelle,lirey la chapelle
StopArea:OCE87139873,Machy,machy
StopArea:OCE87139907,Coursan-en-Othe RN,coursan en othe rn
StopArea:OCE87141002,Nancy,nancy
StopArea:OCE87141010,Jarville-la-Malgrange,jarville la malgrange
StopArea:OCE87141036,Foug,foug
StopArea:OCE87141044,Toul,toul
StopArea:OCE87141051,Fontenoy-sur-Moselle,fontenoy sur moselle
StopArea:OCE87141069,Liverdun,liverdun
StopArea:OCE87141077,Frouard,frouard
StopArea:OCE87141085,Champigneulles,champigneulles
StopArea:OCE87141093,Laneuveville-devant-Nancy,laneuveville devant nancy
StopArea:OCE87141101,Varangéville - Saint-Nicolas,varang ville saint nicolas
StopArea:OCE87141119,Dombasle-sur-Meurthe,dombasle sur meurthe
StopArea:OCE87141127,Rosières-aux-Salines,rosi res aux salines
StopArea:OCE87141135,Blainville - Damelevières,blainville damelevi res
StopArea:OCE87141143,Mont-sur-Meurthe,mont sur meurthe
StopArea:OCE87141150,Lunéville,lun ville
StopArea:OCE87141200,Einvaux,einvaux
StopArea:OCE87141218,Bayon,bayon
StopArea:OCE87141259,Soulosse Route Nationale,soulosse route nationale
StopArea:OCE87141291,Neufchâteau,neufch teau
StopArea:OCE87141374,Saint-Clément - Laronxe,saint cl ment laronxe
StopArea:OCE87141382,Chenevières,chenevi res
StopArea:OCE87141390,Ménil - Flin,m nil flin
StopArea:OCE87141408,Azerailles,azerailles
StopArea:OCE87141416,Baccarat,baccarat
StopArea:OCE87141424,Bertrichamps,bertrichamps
StopArea:OCE87141432,Thiaville,thiaville
StopArea:OCE87141473,Houdemont,houdemont
StopArea:OCE87141481,Ludres,ludres
StopArea:OCE87141499,Messein,messein
StopArea:OCE87141507,Neuves-Maisons,neuves maisons
StopArea:OCE87141523,Pont-Saint-Vincent,pont saint vincent
StopArea:OCE87141721,Blénod-lès-Toul Les Naux,bl nod l s toul les naux
StopArea:OCE87141739,Bulligny Centre,bulligny centre
StopArea:OCE87141754,Barisey-la-Côte Gare,barisey la c te gare
StopArea:OCE87141788,Pompey,pompey
StopArea:OCE87141796,Marbache,marbache
StopArea:OCE87141804,Belleville,belleville
StopArea:OCE87141812,Dieulouard,dieulouard
StopArea:OCE87141820,Pont-à-Mousson,pont mousson
StopArea:OCE87142000,Chaumont,chaumont
StopArea:OCE87142091,Langres,langres
StopArea:OCE87142109,Lorraine TGV,lorraine tgv
StopArea:OCE87142125,Culmont - Chalindrey,culmont chalindrey
StopArea:OCE87142224,Bologne,bologne
StopArea:OCE87142232,Vignory,vignory
StopArea:OCE87142240,Froncles,froncles
StopArea:OCE87142273,Donjeux,donjeux
StopArea:OCE87143024,Vraincourt,vraincourt
StopArea:OCE87144006,Épinal,apinal
StopArea:OCE87144014,Saint-Dié-des-Vosges,saint di des vosges
StopArea:OCE87144030,Docelles-Cheniménil Gare,docelles chenim nil gare
StopArea:OCE87144055,Charmes,charmes
StopArea:OCE87144063,Vincey,vincey
StopArea:OCE87144071,Châtel - Nomexy,ch tel nomexy
StopArea:OCE87144089,Igney,igney
StopArea:OCE87144097,Thaon,thaon
StopArea:OCE87144121,Xertigny,xertigny
StopArea:OCE87144147,Bains-les-Bains,bains les bains
StopArea:OCE87144154,Bruyères,bruy res
StopArea:OCE87144212,Mirecourt,mirecourt
StopArea:OCE87144279,Vittel,vittel
StopArea:OCE87144287,Contrexéville,contrex ville
StopArea:OCE87144295,Martigny-les-Bains Gare,martigny les bains gare
StopArea:OCE87144303,Lamarche,lamarche
StopArea:OCE87144311,Rozières-sur-Mouzon,rozi res sur mouzon
StopArea:OCE87144345,Provenchères-sur-Fave,provench res sur fave
StopArea:OCE87144410,Arches,arches
StopArea:OCE87144428,Pouxeux,pouxeux
StopArea:OCE87144436,Éloyes,aloyes
StopArea:OCE87144451,Remiremont,remiremont
StopArea:OCE87144626,Raon-l'Étape,raon l atape
StopArea:OCE87144642,Étival-Clairefontaine,atival clairefontaine
StopArea:OCE87144683,Saint-Michel-sur-Meurthe,saint michel sur meurthe
StopArea:OCE87146217,Saint-Nabord,saint nabord
StopArea:OCE87146472,Montrozier Gages Pont,montrozier gages pont
StopArea:OCE87147322,Meuse TGV,meuse tgv
StopArea:OCE87152413,Maussac Place de la Poste,maussac place de la poste
StopArea:OCE87158006,Gouzon Champ de Foire,gouzon champ de foire
StopArea:OCE87159947,Ker Lann,ker lann
StopArea:OCE87165852,Montastruc-la-Conseillère RN 88,montastruc la conseill re rn 88
StopArea:OCE87171009,Reims,reims
StopArea:OCE87171272,Reims Maison Blanche,reims maison blanche
StopArea:OCE87171298,Muizon,muizon
StopArea:OCE87171314,Jonchery-sur-Vesle,jonchery sur vesle
StopArea:OCE87171322,Breuil - Romain,breuil romain
StopArea:OCE87171330,Fismes,fismes
StopArea:OCE87171462,Bazancourt,bazancourt
StopArea:OCE87171512,Dormans,dormans
StopArea:OCE87171553,Épernay,apernay
StopArea:OCE87171561,Ay-Champagne,ay champagne
StopArea:OCE87171579,Avenay,avenay
StopArea:OCE87171587,Germaine,germaine
StopArea:OCE87171595,Rilly-la-Montagne,rilly la montagne
StopArea:OCE87171611,Val-de-Vesle,val de vesle
StopArea:OCE87171629,Prunay,prunay
StopArea:OCE87171645,Sept-Saulx,sept saulx
StopArea:OCE87171702,Aguilcourt - Variscourt,aguilcourt variscourt
StopArea:OCE87171710,Courcy - Brimont,courcy brimont
StopArea:OCE87171728,Loivre,loivre
StopArea:OCE87171736,Guignicourt,guignicourt
StopArea:OCE87171744,Amifontaine,amifontaine
StopArea:OCE87171751,Saint-Erme,saint erme
StopArea:OCE87171769,Coucy-lès-Eppes,coucy l s eppes
StopArea:OCE87171926,Champagne-Ardenne TGV,champagne ardenne tgv
StopArea:OCE87172007,Charleville-Mézières,charleville m zi res
StopArea:OCE87172023,Nouzonville,nouzonville
StopArea:OCE87172031,Joigny-sur-Meuse,joigny sur meuse
StopArea:OCE87172049,Bogny-sur-Meuse,bogny sur meuse
StopArea:OCE87172056,Monthermé,montherm
StopArea:OCE87172064,Deville,deville
StopArea:OCE87172072,Laifour,laifour
StopArea:OCE87172080,Revin,revin
StopArea:OCE87172098,Fumay,fumay
StopArea:OCE87172106,Haybes,haybes
StopArea:OCE87172114,Vireux-Molhain,vireux molhain
StopArea:OCE87172122,Aubrives,aubrives
StopArea:OCE87172130,Givet,givet
StopArea:OCE87172155,Mohon,mohon
StopArea:OCE87172171,Poix-Terron,poix terron
StopArea:OCE87172189,Lumes,lumes
StopArea:OCE87172213,Nouvion-sur-Meuse,nouvion sur meuse
StopArea:OCE87172221,Vrigne-Meuse,vrigne meuse
StopArea:OCE87172239,Donchery,donchery
StopArea:OCE87172254,Sedan,sedan
StopArea:OCE87172262,Amagne - Lucquy,amagne lucquy
StopArea:OCE87172270,Rethel,rethel
StopArea:OCE87172304,Noyers-Pont-Maugis,noyers pont maugis
StopArea:OCE87172312,Bazeilles,bazeilles
StopArea:OCE87172320,Douzy,douzy
StopArea:OCE87172338,Pouru-Saint-Remy,pouru saint remy
StopArea:OCE87172346,Sachy,sachy
StopArea:OCE87172353,Carignan,carignan
StopArea:OCE87172387,Blagny,blagny
StopArea:OCE87172395,Linay,linay
StopArea:OCE87172411,Margut - Fromy,margut fromy
StopArea:OCE87172700,Remilly-Aillicourt,remilly aillicourt
StopArea:OCE87172858,Anchamps,anchamps
StopArea:OCE87172874,Fépin,f pin
StopArea:OCE87173302,Wadelincourt,wadelincourt
StopArea:OCE87173401,La Ferté-sur-Chiers,la fert sur chiers
StopArea:OCE87174003,Châlons-en-Champagne,ch lons en champagne
StopArea:OCE87174276,Vitry-le-François,vitry le fran ois
StopArea:OCE87174409,Mourmelon-le-Petit,mourmelon le petit
StopArea:OCE87175000,Saint-Dizier,saint dizier
StopArea:OCE87175018,Revigny,revigny
StopArea:OCE87175042,Bar-le-Duc,bar le duc
StopArea:OCE87175067,Nançois - Tronville,nan ois tronville
StopArea:OCE87175091,Joinville,joinville
StopArea:OCE87175109,Curel,curel
StopArea:OCE87175117,Chevillon,chevillon
StopArea:OCE87175240,Lérouville,l rouville
StopArea:OCE87175257,Commercy,commercy
StopArea:OCE87175778,Verdun,verdun
StopArea:OCE87175794,Étain,atain
StopArea:OCE87175828,Pagny-sur-Meuse,pagny sur meuse
StopArea:OCE87177170,Laissac Place du Foiral,laissac place du foiral
StopArea:OCE87177360,Communay,communay
StopArea:OCE87177576,Ternay Barbières,ternay barbi res
StopArea:OCE87181016,Saint-Louis la Chaussée,saint louis la chauss e
StopArea:OCE87181040,Flaxlanden,flaxlanden
StopArea:OCE87181065,Walheim,walheim
StopArea:OCE87181131,Graffenwald,graffenwald
StopArea:OCE87181222,Colmar Saint-Joseph,colmar saint joseph
StopArea:OCE87181289,Vieux-Thann Zone Industrielle,vieux thann zone industrielle
StopArea:OCE87181552,Saint-Gilles Lycée Haut-Rhin,saint gilles lyc e haut rhin
StopArea:OCE87182014,Colmar,colmar
StopArea:OCE87182055,Mulhouse Dornach,mulhouse dornach
StopArea:OCE87182063,Mulhouse,mulhouse
StopArea:OCE87182071,Rixheim,rixheim
StopArea:OCE87182089,Habsheim,habsheim
StopArea:OCE87182105,Sierentz,sierentz
StopArea:OCE87182113,Bartenheim,bartenheim
StopArea:OCE87182139,Saint-Louis,saint louis
StopArea:OCE87182196,Zillisheim,zillisheim
StopArea:OCE87182204,Illfurth,illfurth
StopArea:OCE87182238,Altkirch,altkirch
StopArea:OCE87182253,Dannemarie,dannemarie
StopArea:OCE87182329,Herrlisheim-près-Colmar,herrlisheim pr s colmar
StopArea:OCE87182337,Rouffach,rouffach
StopArea:OCE87182345,Logelbach,logelbach
StopArea:OCE87182352,Turckheim,turckheim
StopArea:OCE87182360,Walbach - La Forge,walbach la forge
StopArea:OCE87182378,Wihr-au-Val - Soultzbach,wihr au val soultzbach
StopArea:OCE87182386,Gunsbach - Griesbach,gunsbach griesbach
StopArea:OCE87182394,Munster,munster
StopArea:OCE87182402,Ranspach,ranspach
StopArea:OCE87182410,Cernay,cernay
StopArea:OCE87182543,Luttenbach-près-Munster,luttenbach pr s munster
StopArea:OCE87182550,Vieux-Thann,vieux thann
StopArea:OCE87182568,Thann,thann
StopArea:OCE87182576,Bitschwiller-lès-Thann,bitschwiller l s thann
StopArea:OCE87182584,Willer-sur-Thur,willer sur thur
StopArea:OCE87182592,Moosch,moosch
StopArea:OCE87182600,Saint-Amarin,saint amarin
StopArea:OCE87182618,Wesserling,wesserling
StopArea:OCE87182626,Fellering,fellering
StopArea:OCE87182634,Oderen,oderen
StopArea:OCE87182642,Kruth,kruth
StopArea:OCE87182659,Breitenbach,breitenbach
StopArea:OCE87182667,Lutterbach,lutterbach
StopArea:OCE87182691,Staffelfelden,staffelfelden
StopArea:OCE87182709,Bollwiller,bollwiller
StopArea:OCE87182717,Raedersheim,raedersheim
StopArea:OCE87182725,Merxheim,merxheim
StopArea:OCE87182733,Muhlbach-sur-Munster,muhlbach sur munster
StopArea:OCE87182816,Metzeral,metzeral
StopArea:OCE87182840,Bantzenheim,bantzenheim
StopArea:OCE87182881,Thann Saint-Jacques,thann saint jacques
StopArea:OCE87184002,Belfort-Ville,belfort ville
StopArea:OCE87184200,Bas Évette,bas avette
StopArea:OCE87184242,Trois Chênes,trois ch nes
StopArea:OCE87184267,Petit-Croix,petit croix
StopArea:OCE87184275,Montreux-Vieux,montreux vieux
StopArea:OCE87184408,Méroux,m roux
StopArea:OCE87184424,Morvillars,morvillars
StopArea:OCE87184432,Grandvillars,grandvillars
StopArea:OCE87184440,Delle,delle
StopArea:OCE87184507,Héricourt,h ricourt
StopArea:OCE87184523,Montbéliard,montb liard
StopArea:OCE87184531,Voujeaucourt,voujeaucourt
StopArea:OCE87184556,Colombier-Fontaine,colombier fontaine
StopArea:OCE87184572,L'Isle-sur-le-Doubs,l isle sur le doubs
StopArea:OCE87184622,Clerval,clerval
StopArea:OCE87185009,Vesoul,vesoul
StopArea:OCE87185249,Lure,lure
StopArea:OCE87185314,Ronchamp,ronchamp
StopArea:OCE87185330,Saint-Loup-sur-Semouse,saint loup sur semouse
StopArea:OCE87185348,Champagney,champagney
StopArea:OCE87185595,Luxeuil-les-Bains,luxeuil les bains
StopArea:OCE87185629,Aillevillers,aillevillers
StopArea:OCE87187930,Bâle Saint-Jean,b le saint jean
StopArea:OCE87190801,Loupershouse centre,loupershouse centre
StopArea:OCE87191007,Thionville,thionville
StopArea:OCE87191098,Walygator parc,walygator parc
StopArea:OCE87191106,Maizières-lès-Metz,maizi res l s metz
StopArea:OCE87191114,Hagondange,hagondange
StopArea:OCE87191130,Uckange,uckange
StopArea:OCE87191163,Hettange-Grande,hettange grande
StopArea:OCE87191239,Hayange,hayange
StopArea:OCE87191296,Metzeresche Fontaine,metzeresche fontaine
StopArea:OCE87191304,Yutz Poitiers,yutz poitiers
StopArea:OCE87191346,Kédange Gare,k dange gare
StopArea:OCE87191387,Anzeling,anzeling
StopArea:OCE87191395,Freistroff Passage À Niveau,freistroff passage a niveau
StopArea:OCE87191403,Aboncourt Mairie,aboncourt mairie
StopArea:OCE87191411,Remelfang Giratoire,remelfang giratoire
StopArea:OCE87191601,Basse-Ham,basse ham
StopArea:OCE87191619,Koenigsmacker,koenigsmacker
StopArea:OCE87191627,Malling,malling
StopArea:OCE87191635,Sierck-les-Bains,sierck les bains
StopArea:OCE87191643,Apach,apach
StopArea:OCE87191684,Auboué,aubou
StopArea:OCE87191692,Homécourt,hom court
StopArea:OCE87191700,Joeuf,joeuf
StopArea:OCE87191718,Moyeuvre-Grande,moyeuvre grande
StopArea:OCE87191734,Rombas - Clouange,rombas clouange
StopArea:OCE87191742,Gandrange - Amnéville,gandrange amn ville
StopArea:OCE87192039,Metz,metz
StopArea:OCE87192070,Metz Nord,metz nord
StopArea:OCE87192088,Woippy,woippy
StopArea:OCE87192104,Aubecourt Rue Principale,aubecourt rue principale
StopArea:OCE87192120,Lucy Rue des Tilleuls,lucy rue des tilleuls
StopArea:OCE87192138,Chenois Rue Principale,chenois rue principale
StopArea:OCE87192146,Holacourt Rue Principale,holacourt rue principale
StopArea:OCE87192153,Arraincourt Rue Principale,arraincourt rue principale
StopArea:OCE87192179,Racrange Rue de Morhange,racrange rue de morhange
StopArea:OCE87192187,Bermering Eglise,bermering eglise
StopArea:OCE87192195,Marimont-lès-Bénestroff Eglise,marimont l s b nestroff eglise
StopArea:OCE87192203,Peltre,peltre
StopArea:OCE87192211,Courcelles-sur-Nied,courcelles sur nied
StopArea:OCE87192229,Sanry-sur-Nied,sanry sur nied
StopArea:OCE87192237,Rémilly,r milly
StopArea:OCE87192245,Baudrecourt Centre,baudrecourt centre
StopArea:OCE87192252,Lesse Centre,lesse centre
StopArea:OCE87192260,Brulange Rue de Metz,brulange rue de metz
